sample_ID	soil_sample	timepoint	inoculation	treatment	biorep	original_specifictreatment	original_id	to_be_analyzed	to_be_analyzed_carrot	to_be_analyzed_noCarrot	treat_three	treat_three_sorted
SSCTP1INNTRNBR1	carrot	One	None	None	1	Timepoint1Control_with_carrot	ITS.A1	no	no	no	Control_NO_CL09	Control_NO_CL09
SSCTP1INNTRNBR2	carrot	One	None	None	2	Timepoint1Control_with_carrot	ITS.A2	yes	yes	no	Control_NO_CL09	Control_NO_CL09
SSCTP1INNTRNBR3	carrot	One	None	None	3	Timepoint1Control_with_carrot	ITS.A3	yes	yes	no	Control_NO_CL09	Control_NO_CL09
SSCTP1INNTRNBR4	carrot	One	None	None	4	Timepoint1Control_with_carrot	ITS.A4	yes	yes	no	Control_NO_CL09	Control_NO_CL09
SSNTP1INNTRNBR1	no	One	None	None	1	Timepoint1control_no_carrot	ITS.A5	yes	no	yes	Control_NO_CL09	Control_NO_CL09
SSNTP1INNTRNBR2	no	One	None	None	2	Timepoint1control_no_carrot	ITS.A6	yes	no	yes	Control_NO_CL09	Control_NO_CL09
SSNTP1INNTRNBR3	no	One	None	None	3	Timepoint1control_no_carrot	ITS.A7	yes	no	yes	Control_NO_CL09	Control_NO_CL09
SSNTP1INNTRNBR4	no	One	None	None	4	Timepoint1control_no_carrot	ITS.A8	no	no	no	Control_NO_CL09	Control_NO_CL09
SSCTP1INYTRNBR1	carrot	One	CL09	None	1	Timepoint1Carrot_and_CL09	ITS.A9	yes	yes	no	Control_CL09	Control_CL09
SSCTP1INYTRNBR2	carrot	One	CL09	None	2	Timepoint1Carrot_and_CL09	ITS.A10	yes	yes	no	Control_CL09	Control_CL09
SSCTP1INYTRNBR3	carrot	One	CL09	None	3	Timepoint1Carrot_and_CL09	ITS.A11	yes	yes	no	Control_CL09	Control_CL09
SSCTP1INYTRNBR4	carrot	One	CL09	None	4	Timepoint1Carrot_and_CL09	ITS.A12	no	no	no	Control_CL09	Control_CL09
