out	Kingdom	Phylum	Class	Order	Family	Genus	Species
716a5be407ba80f2f8ed968ad42fdd10	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
5c01fcec0b8a4d3d06a86cc2208a762d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Rhodanobacteraceae		
4ccba83b5cddc668bc4e26070bccde75	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__uncultured	
9d87891559a36f340668e1979b446dec	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	
c219f56669d4ad9ecfc491a346ab053c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
fcf1e845d31ccc68011b716aaefcc13f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae		
c3d03b8bebf2e01e89cb665d753c8f87	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
733fa975052abdab888aa6ed0cb16c20	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
7da8eb0382691698da6d6c72f0486200	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Devosiaceae	 g__Devosia	 s__uncultured_Caulobacteraceae
b7474f816bbc532c6fbbad77d11b2314	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
ef04b34bbffdc41569f5dfd730a98ac8	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae		
f8f87eedc481aa4ed89aa1ee2533a778	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Rhodanobacteraceae		
f6329b4ee7e8dbf5a36a34894a0f4a2e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
e33159a5e5b4a433879db596d2994ff8	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micropepsales	 f__Micropepsaceae	 g__Micropepsis	
e8e5b3b2e02ac213afdd29763d508cfe	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
be6481a18f3bf8d43c67beb0e951ba65	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
