out	SSCTP1INNTRBBR1	SSCTP1INNTRBBR2	SSCTP1INNTRBBR3	SSCTP1INNTRBBR4	SSCTP1INNTRNBR1	SSCTP1INNTRNBR2	SSCTP1INNTRNBR3	SSCTP1INNTRNBR4	SSCTP1INNTRRBR1	SSCTP1INNTRRBR2	SSCTP1INNTRRBR3	SSCTP1INNTRRBR4	SSCTP1INYTRBBR1	SSCTP1INYTRBBR2	SSCTP1INYTRBBR3	SSCTP1INYTRBBR4	SSCTP1INYTRNBR1	SSCTP1INYTRNBR2	SSCTP1INYTRNBR3	SSCTP1INYTRNBR4	SSCTP1INYTRRBR1	SSCTP1INYTRRBR2	SSCTP1INYTRRBR3	SSCTP1INYTRRBR4	SSCTP2INNTRBBR1	SSCTP2INNTRBBR2	SSCTP2INNTRBBR3	SSCTP2INNTRBBR4	SSCTP2INNTRNBR1	SSCTP2INNTRNBR2	SSCTP2INNTRNBR3	SSCTP2INNTRNBR4	SSCTP2INNTRRBR1	SSCTP2INNTRRBR2	SSCTP2INNTRRBR3	SSCTP2INNTRRBR4	SSCTP2INYTRBBR1	SSCTP2INYTRBBR2	SSCTP2INYTRBBR3	SSCTP2INYTRNBR1	SSCTP2INYTRNBR2	SSCTP2INYTRNBR3	SSCTP2INYTRNBR4	SSCTP2INYTRRBR1	SSCTP2INYTRRBR2	SSCTP2INYTRRBR3	SSNTP1INNTRBBR1	SSNTP1INNTRBBR2	SSNTP1INNTRBBR3	SSNTP1INNTRBBR4	SSNTP1INNTRNBR1	SSNTP1INNTRNBR2	SSNTP1INNTRNBR3	SSNTP1INNTRNBR4	SSNTP1INNTRRBR1	SSNTP1INNTRRBR2	SSNTP1INNTRRBR3	SSNTP1INNTRRBR4	SSNTP1INYTRBBR1	SSNTP1INYTRBBR2	SSNTP1INYTRBBR3	SSNTP1INYTRBBR4	SSNTP1INYTRNBR1	SSNTP1INYTRNBR2	SSNTP1INYTRNBR3	SSNTP1INYTRNBR4	SSNTP1INYTRRBR1	SSNTP1INYTRRBR2	SSNTP1INYTRRBR3	SSNTP1INYTRRBR4	SSNTP2INNTRBBR1	SSNTP2INNTRBBR2	SSNTP2INNTRBBR3	SSNTP2INNTRBBR4	SSNTP2INNTRNBR1	SSNTP2INNTRNBR2	SSNTP2INNTRNBR3	SSNTP2INNTRNBR4	SSNTP2INNTRRBR1	SSNTP2INNTRRBR2	SSNTP2INNTRRBR3	SSNTP2INNTRRBR4	SSNTP2INYTRBBR1	SSNTP2INYTRBBR2	SSNTP2INYTRBBR3	SSNTP2INYTRBBR4	SSNTP2INYTRNBR1	SSNTP2INYTRNBR2	SSNTP2INYTRNBR3	SSNTP2INYTRNBR4	SSNTP2INYTRRBR1	SSNTP2INYTRRBR2	SSNTP2INYTRRBR3
80f84f1b0c887fa59ab4deed62dbcc0b	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	6	1	1	3	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1
bed39fbccae199313f1ea185ba57dc19	1	1	0	1	3	2	5	0	1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	2	3	17	7	11	3	7	0	30	3	1	42	0	1	4	0	2	2	21	6	0	1	0	3	7	2	12	2	1	2	0	6	2	1	3	0	3	23	8	0	1	0	0	0	0	0	0	0	1	2	1	0	0	1	1	7	0	1	3	8	2	3	0	5	8	0	0	3	1	1
3427d2954c1214063d9c3fca782c07f0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1495e4a8ed6db8094439ae0e9e75c55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3bc1b6268426f5870008aa7ddf09f50c	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89c1bacc65383da6c07c357c2175c4d1	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	3	1	2	2	3	10	7	7	10	4	5	3	0	3	1	1	8	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
7cec35004ef019ed3fc971c7449b8a17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	2	0	0	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0
aafe49404bc14cc24ea344e7da25a551	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3def361270a16e5b563188b17dc2d13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b2551b0698c97e49dbe529a63c69441	4	7	2	8	2	7	2	3	7	4	2	3	1	3	7	6	3	4	0	2	0	2	5	0	4	1	2	0	0	0	0	1	2	0	1	3	4	1	0	3	3	5	2	2	2	3	8	5	6	15	8	6	6	7	10	7	14	7	2	4	7	2	7	11	2	3	5	18	3	5	4	3	5	5	3	1	6	2	6	12	3	2	1	0	4	0	0	3	1	2	1	1	2
